Country,VendorName,VendorNumber,PaymentCount,PaymentAmount,InvoiceLineAmountLocal,Currency,ThirdPartyPaymentsLineId,GIAccountDescription,PaymentType,PaymentSubtype,BusinessActivity,InvoiceGIDate
BRAZIL,Juliana Pereira,93300280,4,8500,2125,BRL,93300280,Air Fares,CERPS Invoice,N/A,Training,19-04-2022
BRAZIL,Juliana Pereira,93300280,4,8500,2125,BRL,93300280,Vehicle Parking,CERPS Invoice,PaidScholarship,Travel Expenses,08-03-2022
BRAZIL,Juliana Pereira,93300280,4,8500,2125,BRL,93300280,Other Travel Cost,Monetory TOV,Logistics,Travel Expenses,14-03-2023
BRAZIL,Juliana Pereira,93300280,4,8500,2125,BRL,93300280,Employee Training,CERPS Invoice,Networking,Grants & Donations,29-10-2023
BRAZIL,Luna Isabela Vargas,93300282,4,8700,2175,BRL,93300282,Postage & Couriers,Monetory TOV,N/A,Entertainment,24-11-2022
BRAZIL,Luna Isabela Vargas,93300282,4,8700,2175,BRL,93300282,Employee Training,Monetory TOV,Logistics,Membership Fees,04-12-2023
BRAZIL,Luna Isabela Vargas,93300282,4,8700,2175,BRL,93300282,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,Sponsorships,06-07-2023
BRAZIL,Luna Isabela Vargas,93300282,4,8700,2175,BRL,93300282,Other Travel Cost,CERPS Invoice,PaidTravel Expenses,Entertainment,01-10-2023
BRAZIL,Carlos Mariana Silva,93300471,5,46500,9300,BRL,93300471,Other Travel Cost,Monetory TOV,N/A,Sponsorships,08-07-2023
BRAZIL,Carlos Mariana Silva,93300471,5,46500,9300,BRL,93300471,Vehicle Parking,CERPS Invoice,Logistics,Travel Expenses,28-10-2022
BRAZIL,Carlos Mariana Silva,93300471,5,46500,9300,BRL,93300471,Employee Training,Monetory TOV,N/A,Entertainment,27-03-2022
BRAZIL,Carlos Mariana Silva,93300471,5,46500,9300,BRL,93300471,Other Travel Cost,Monetory TOV,PaidScholarship,Entertainment,15-02-2022
BRAZIL,Carlos Mariana Silva,93300471,5,46500,9300,BRL,93300471,Taxi Fares,CERPS Invoice,PaidScholarship,HCP Fee for Service,10-01-2023
BRAZIL,Francisco Silva,93300284,4,42000,10500,BRL,93300284,Employee Training,CERPS Invoice,PaidScholarship,Grants & Donations,07-06-2022
BRAZIL,Francisco Silva,93300284,4,42000,10500,BRL,93300284,Air Fares,Monetory TOV,N/A,Membership Fees,28-12-2022
BRAZIL,Francisco Silva,93300284,4,42000,10500,BRL,93300284,Postage & Couriers,CERPS Invoice,N/A,Entertainment,19-05-2022
BRAZIL,Francisco Silva,93300284,4,42000,10500,BRL,93300284,Other Travel Cost,Monetory TOV,Networking,Other HCO Expenditure,04-01-2022
BRAZIL,David Torres,93300286,4,41500,10375,BRL,93300286,Employee Training,Monetory TOV,Networking,Sponsorships,30-12-2022
BRAZIL,David Torres,93300286,4,41500,10375,BRL,93300286,Postage & Couriers,CERPS Invoice,Logistics,Grants & Donations,02-09-2023
BRAZIL,David Torres,93300286,4,41500,10375,BRL,93300286,Other Travel Cost,Monetory TOV,PaidTravel Expenses,Market Research,22-08-2023
BRAZIL,David Torres,93300286,4,41500,10375,BRL,93300286,Employee Training,CERPS Invoice,Networking,Entertainment,01-06-2022
BRAZIL,Leonardo Gomez Gonzalez,93300474,5,45000,9000,BRL,93300474,Hotel & Accomidation,Monetory TOV,PaidTravel Expenses,Sponsorships,15-07-2023
BRAZIL,Leonardo Gomez Gonzalez,93300474,5,45000,9000,BRL,93300474,Other Travel Cost,Monetory TOV,Networking,Travel Expenses,19-06-2022
BRAZIL,Leonardo Gomez Gonzalez,93300474,5,45000,9000,BRL,93300474,Hotel & Accomidation,Monetory TOV,PaidTravel Expenses,Travel Expenses,19-11-2023
BRAZIL,Leonardo Gomez Gonzalez,93300474,5,45000,9000,BRL,93300474,Employee Training,CERPS Invoice,Networking,Market Research,18-01-2022
BRAZIL,Leonardo Gomez Gonzalez,93300474,5,45000,9000,BRL,93300474,Air Fares,CERPS Invoice,Logistics,Entertainment,02-02-2023
BRAZIL,Elena Silva A,93300288,4,43500,10875,BRL,93300288,Postage & Couriers,CERPS Invoice,N/A,Entertainment,18-12-2023
BRAZIL,Elena Silva A,93300288,4,43500,10875,BRL,93300288,Employee Training,CERPS Invoice,Logistics,Sponsorships,22-09-2023
BRAZIL,Elena Silva A,93300288,4,43500,10875,BRL,93300288,Postage & Couriers,CERPS Invoice,Logistics,Training,16-05-2022
BRAZIL,Elena Silva A,93300288,4,43500,10875,BRL,93300288,Hotel & Accomidation,CERPS Invoice,PaidTravel Expenses,Travel Expenses,22-06-2023
BRAZIL,Julian Gomez,93300477,5,44000,8800,BRL,93300477,Air Fares,CERPS Invoice,N/A,Travel Expenses,11-09-2023
BRAZIL,Julian Gomez,93300477,5,44000,8800,BRL,93300477,Other Travel Cost,Monetory TOV,N/A,Sponsorships,25-07-2023
BRAZIL,Julian Gomez,93300477,5,44000,8800,BRL,93300477,Postage & Couriers,Monetory TOV,PaidScholarship,Grants & Donations,13-05-2023
BRAZIL,Julian Gomez,93300477,5,44000,8800,BRL,93300477,Postage & Couriers,CERPS Invoice,Logistics,Training,12-08-2022
BRAZIL,Julian Gomez,93300477,5,44000,8800,BRL,93300477,Employee Training,CERPS Invoice,Logistics,Gifts,13-04-2022
BRAZIL,Elena Torres Gomez,93300479,5,45500,9100,BRL,93300479,Taxi Fares,Monetory TOV,Networking,Travel Expenses,27-12-2023
BRAZIL,Elena Torres Gomez,93300479,5,45500,9100,BRL,93300479,Employee Training,CERPS Invoice,PaidScholarship,Membership Fees,19-12-2023
BRAZIL,Elena Torres Gomez,93300479,5,45500,9100,BRL,93300479,Digital Production,CERPS Invoice,Networking,HCP Fee for Service,03-10-2023
BRAZIL,Elena Torres Gomez,93300479,5,45500,9100,BRL,93300479,Hotel & Accomidation,Monetory TOV,N/A,Entertainment,29-03-2022
BRAZIL,Elena Torres Gomez,93300479,5,45500,9100,BRL,93300479,Digital Production,CERPS Invoice,Networking,Market Research,06-03-2022
BRAZIL,Fernanda Garcia,93300481,5,44500,8900,BRL,93300481,Other Travel Cost,CERPS Invoice,N/A,Travel Expenses,05-05-2023
BRAZIL,Fernanda Garcia,93300481,5,44500,8900,BRL,93300481,Postage & Couriers,Monetory TOV,N/A,Sponsorships,08-06-2022
BRAZIL,Fernanda Garcia,93300481,5,44500,8900,BRL,93300481,Postage & Couriers,Monetory TOV,Networking,Travel Expenses,03-11-2022
BRAZIL,Fernanda Garcia,93300481,5,44500,8900,BRL,93300481,Hotel & Accomidation,CERPS Invoice,Logistics,Membership Fees,13-11-2023
BRAZIL,Fernanda Garcia,93300481,5,44500,8900,BRL,93300481,Vehicle Parking,CERPS Invoice,N/A,Training,09-05-2022
BRAZIL,Marcela Silva,93300292,4,44000,11000,BRL,93300292,Digital Production,Monetory TOV,Logistics,Market Research,09-12-2022
BRAZIL,Marcela Silva,93300292,4,44000,11000,BRL,93300292,Digital Production,CERPS Invoice,Networking,Gifts,15-12-2023
BRAZIL,Marcela Silva,93300292,4,44000,11000,BRL,93300292,Employee Training,Monetory TOV,N/A,Membership Fees,14-11-2022
BRAZIL,Marcela Silva,93300292,4,44000,11000,BRL,93300292,Other Travel Cost,Monetory TOV,Logistics,Sponsorships,11-12-2022
BRAZIL,Elena Ruiz,93300483,5,45000,9000,BRL,93300483,Hotel & Accomidation,Monetory TOV,Networking,Membership Fees,03-01-2022
BRAZIL,Elena Ruiz,93300483,5,45000,9000,BRL,93300483,Employee Training,CERPS Invoice,PaidScholarship,Market Research,07-11-2022
BRAZIL,Elena Ruiz,93300483,5,45000,9000,BRL,93300483,Air Fares,Monetory TOV,PaidTravel Expenses,Market Research,05-05-2023
BRAZIL,Elena Ruiz,93300483,5,45000,9000,BRL,93300483,Hotel & Accomidation,CERPS Invoice,PaidTravel Expenses,Other HCO Expenditure,12-05-2023
BRAZIL,Elena Ruiz,93300483,5,45000,9000,BRL,93300483,Digital Production,CERPS Invoice,PaidScholarship,Other HCO Expenditure,12-04-2022
BRAZIL,Julian Costa Pedro,93300485,5,9100,1820,BRL,93300485,Postage & Couriers,Monetory TOV,Logistics,Other HCO Expenditure,29-01-2023
BRAZIL,Julian Costa Pedro,93300485,5,9100,1820,BRL,93300485,Employee Training,CERPS Invoice,N/A,Grants & Donations,17-02-2023
BRAZIL,Julian Costa Pedro,93300485,5,9100,1820,BRL,93300485,Air Fares,CERPS Invoice,N/A,Sponsorships,08-10-2023
BRAZIL,Julian Costa Pedro,93300485,5,9100,1820,BRL,93300485,Taxi Fares,CERPS Invoice,Logistics,Membership Fees,14-06-2022
BRAZIL,Julian Costa Pedro,93300485,5,9100,1820,BRL,93300485,Taxi Fares,CERPS Invoice,Logistics,Training,07-01-2023
BRAZIL,Patricia Mateo Silva,93300489,5,45000,9000,BRL,93300489,Taxi Fares,Monetory TOV,PaidTravel Expenses,Gifts,09-07-2023
BRAZIL,Patricia Mateo Silva,93300489,5,45000,9000,BRL,93300489,Taxi Fares,CERPS Invoice,PaidScholarship,Sponsorships,07-10-2023
BRAZIL,Patricia Mateo Silva,93300489,5,45000,9000,BRL,93300489,Air Fares,Monetory TOV,Logistics,Entertainment,22-07-2023
BRAZIL,Patricia Mateo Silva,93300489,5,45000,9000,BRL,93300489,Taxi Fares,Monetory TOV,Networking,Sponsorships,23-12-2023
BRAZIL,Patricia Mateo Silva,93300489,5,45000,9000,BRL,93300489,Air Fares,Monetory TOV,Networking,Grants & Donations,03-09-2023
BRAZIL,Marcela Salvador Ruiz,93300491,5,44000,8800,BRL,93300491,Postage & Couriers,CERPS Invoice,PaidScholarship,Grants & Donations,15-02-2022
BRAZIL,Marcela Salvador Ruiz,93300491,5,44000,8800,BRL,93300491,Hotel & Accomidation,CERPS Invoice,PaidScholarship,Gifts,03-02-2023
BRAZIL,Marcela Salvador Ruiz,93300491,5,44000,8800,BRL,93300491,Other Travel Cost,Monetory TOV,N/A,Travel Expenses,27-05-2023
BRAZIL,Marcela Salvador Ruiz,93300491,5,44000,8800,BRL,93300491,Vehicle Parking,Monetory TOV,N/A,Travel Expenses,21-02-2023
BRAZIL,Marcela Salvador Ruiz,93300491,5,44000,8800,BRL,93300491,Digital Production,CERPS Invoice,PaidScholarship,Travel Expenses,08-12-2022
BRAZIL,Laura Silva Vargas,93300493,5,8900,1780,BRL,93300493,Air Fares,CERPS Invoice,Networking,Gifts,06-02-2022
BRAZIL,Laura Silva Vargas,93300493,5,8900,1780,BRL,93300493,Postage & Couriers,Monetory TOV,Logistics,Travel Expenses,05-01-2023
BRAZIL,Laura Silva Vargas,93300493,5,8900,1780,BRL,93300493,Digital Production,Monetory TOV,Logistics,HCP Fee for Service,14-11-2022
BRAZIL,Laura Silva Vargas,93300493,5,8900,1780,BRL,93300493,Postage & Couriers,CERPS Invoice,PaidScholarship,Entertainment,04-07-2023
BRAZIL,Laura Silva Vargas,93300493,5,8900,1780,BRL,93300493,Employee Training,CERPS Invoice,PaidScholarship,Grants & Donations,16-04-2022
BRAZIL,Mariana Ruiz,93300495,5,45000,9000,BRL,93300495,Air Fares,CERPS Invoice,PaidTravel Expenses,Travel Expenses,25-09-2023
BRAZIL,Mariana Ruiz,93300495,5,45000,9000,BRL,93300495,Postage & Couriers,CERPS Invoice,N/A,Entertainment,07-11-2022
BRAZIL,Mariana Ruiz,93300495,5,45000,9000,BRL,93300495,Taxi Fares,Monetory TOV,PaidTravel Expenses,Sponsorships,28-02-2023
BRAZIL,Mariana Ruiz,93300495,5,45000,9000,BRL,93300495,Other Travel Cost,CERPS Invoice,PaidScholarship,Grants & Donations,29-11-2022
BRAZIL,Mariana Ruiz,93300495,5,45000,9000,BRL,93300495,Vehicle Parking,CERPS Invoice,Networking,Market Research,31-08-2022
BRAZIL,Marcela Torres Romero,93300497,5,9100,1820,BRL,93300497,Taxi Fares,CERPS Invoice,N/A,Gifts,08-12-2023
BRAZIL,Marcela Torres Romero,93300497,5,9100,1820,BRL,93300497,Taxi Fares,CERPS Invoice,Networking,Membership Fees,22-10-2023
BRAZIL,Marcela Torres Romero,93300497,5,9100,1820,BRL,93300497,Digital Production,CERPS Invoice,Logistics,HCP Fee for Service,31-07-2022
BRAZIL,Marcela Torres Romero,93300497,5,9100,1820,BRL,93300497,Hotel & Accomidation,CERPS Invoice,N/A,Grants & Donations,02-10-2023
BRAZIL,Marcela Torres Romero,93300497,5,9100,1820,BRL,93300497,Air Fares,Monetory TOV,N/A,Market Research,19-08-2022
BRAZIL,Julian Costa,93300499,5,9200,1840,BRL,93300499,Hotel & Accomidation,Monetory TOV,Logistics,Other HCO Expenditure,07-10-2022
BRAZIL,Julian Costa,93300499,5,9200,1840,BRL,93300499,Vehicle Parking,CERPS Invoice,N/A,HCP Fee for Service,07-07-2022
BRAZIL,Julian Costa,93300499,5,9200,1840,BRL,93300499,Taxi Fares,CERPS Invoice,Logistics,Grants & Donations,14-04-2023
BRAZIL,Julian Costa,93300499,5,9200,1840,BRL,93300499,Air Fares,Monetory TOV,Networking,Membership Fees,09-05-2022
BRAZIL,Julian Costa,93300499,5,9200,1840,BRL,93300499,Digital Production,CERPS Invoice,PaidScholarship,HCP Fee for Service,08-01-2022
BRAZIL,Marcela Gonzalez Romero,93300501,5,44500,8900,BRL,93300501,Air Fares,Monetory TOV,Networking,Other HCO Expenditure,29-11-2023
BRAZIL,Marcela Gonzalez Romero,93300501,5,44500,8900,BRL,93300501,Digital Production,Monetory TOV,PaidScholarship,Entertainment,08-03-2023
BRAZIL,Marcela Gonzalez Romero,93300501,5,44500,8900,BRL,93300501,Air Fares,CERPS Invoice,PaidTravel Expenses,Grants & Donations,09-10-2023
BRAZIL,Marcela Gonzalez Romero,93300501,5,44500,8900,BRL,93300501,Employee Training,Monetory TOV,PaidScholarship,Grants & Donations,01-01-2023
BRAZIL,Marcela Gonzalez Romero,93300501,5,44500,8900,BRL,93300501,Hotel & Accomidation,CERPS Invoice,Logistics,Travel Expenses,01-05-2023
BRAZIL,Nicolas Martinez Silva,93300304,4,43000,10750,BRL,93300304,Air Fares,CERPS Invoice,Logistics,Sponsorships,04-04-2022
BRAZIL,Nicolas Martinez Silva,93300304,4,43000,10750,BRL,93300304,Taxi Fares,Monetory TOV,Logistics,Travel Expenses,21-09-2023
BRAZIL,Nicolas Martinez Silva,93300304,4,43000,10750,BRL,93300304,Vehicle Parking,Monetory TOV,PaidScholarship,HCP Fee for Service,20-01-2023
BRAZIL,Nicolas Martinez Silva,93300304,4,43000,10750,BRL,93300304,Taxi Fares,Monetory TOV,PaidTravel Expenses,HCP Fee for Service,20-05-2023
BRAZIL,Felipe Garcia,93300503,5,44500,8900,BRL,93300503,Vehicle Parking,CERPS Invoice,PaidTravel Expenses,Gifts,17-01-2023
BRAZIL,Felipe Garcia,93300503,5,44500,8900,BRL,93300503,Hotel & Accomidation,CERPS Invoice,PaidTravel Expenses,Entertainment,19-04-2023
BRAZIL,Felipe Garcia,93300503,5,44500,8900,BRL,93300503,Other Travel Cost,CERPS Invoice,Logistics,Other HCO Expenditure,30-12-2023
BRAZIL,Felipe Garcia,93300503,5,44500,8900,BRL,93300503,Other Travel Cost,CERPS Invoice,Networking,Gifts,13-03-2022
BRAZIL,Felipe Garcia,93300503,5,44500,8900,BRL,93300503,Postage & Couriers,Monetory TOV,PaidScholarship,Grants & Donations,17-09-2023
BRAZIL,Manuel Ruiz,93300306,4,8300,2075,BRL,93300306,Air Fares,CERPS Invoice,Networking,Grants & Donations,15-10-2022
BRAZIL,Manuel Ruiz,93300306,4,8300,2075,BRL,93300306,Postage & Couriers,Monetory TOV,Logistics,Training,06-09-2023
BRAZIL,Manuel Ruiz,93300306,4,8300,2075,BRL,93300306,Employee Training,CERPS Invoice,Logistics,Travel Expenses,16-05-2023
BRAZIL,Manuel Ruiz,93300306,4,8300,2075,BRL,93300306,Vehicle Parking,CERPS Invoice,N/A,Travel Expenses,05-02-2023
BRAZIL,Alejandro Gonzalez,93300308,4,8400,2100,BRL,93300308,Air Fares,Monetory TOV,N/A,Gifts,04-02-2022
BRAZIL,Alejandro Gonzalez,93300308,4,8400,2100,BRL,93300308,Air Fares,CERPS Invoice,Logistics,Sponsorships,02-07-2023
BRAZIL,Alejandro Gonzalez,93300308,4,8400,2100,BRL,93300308,Taxi Fares,Monetory TOV,N/A,Travel Expenses,21-06-2022
BRAZIL,Alejandro Gonzalez,93300308,4,8400,2100,BRL,93300308,Hotel & Accomidation,Monetory TOV,N/A,Grants & Donations,07-07-2022
BRAZIL,Julio Fernandez Ruiz,93300506,5,9000,1800,BRL,93300506,Hotel & Accomidation,Monetory TOV,Networking,Entertainment,08-02-2023
BRAZIL,Julio Fernandez Ruiz,93300506,5,9000,1800,BRL,93300506,Hotel & Accomidation,Monetory TOV,PaidScholarship,Sponsorships,20-10-2022
BRAZIL,Julio Fernandez Ruiz,93300506,5,9000,1800,BRL,93300506,Employee Training,Monetory TOV,Networking,Other HCO Expenditure,26-07-2022
BRAZIL,Julio Fernandez Ruiz,93300506,5,9000,1800,BRL,93300506,Air Fares,Monetory TOV,Networking,Market Research,14-04-2022
BRAZIL,Julio Fernandez Ruiz,93300506,5,9000,1800,BRL,93300506,Taxi Fares,Monetory TOV,Logistics,Entertainment,14-12-2023
BRAZIL,Ignacio Pereira,93300310,4,42500,10625,BRL,93300310,Air Fares,CERPS Invoice,Logistics,Travel Expenses,01-08-2023
BRAZIL,Ignacio Pereira,93300310,4,42500,10625,BRL,93300310,Employee Training,Monetory TOV,N/A,Other HCO Expenditure,22-05-2022
BRAZIL,Ignacio Pereira,93300310,4,42500,10625,BRL,93300310,Air Fares,CERPS Invoice,Networking,Membership Fees,31-08-2023
BRAZIL,Ignacio Pereira,93300310,4,42500,10625,BRL,93300310,Vehicle Parking,Monetory TOV,PaidScholarship,Sponsorships,16-02-2023
BRAZIL,Juan M Martinez,93300509,5,44000,8800,BRL,93300509,Digital Production,Monetory TOV,PaidScholarship,HCP Fee for Service,21-07-2022
BRAZIL,Juan M Martinez,93300509,5,44000,8800,BRL,93300509,Employee Training,Monetory TOV,Networking,Gifts,16-11-2022
BRAZIL,Juan M Martinez,93300509,5,44000,8800,BRL,93300509,Postage & Couriers,Monetory TOV,PaidScholarship,Entertainment,10-08-2022
BRAZIL,Juan M Martinez,93300509,5,44000,8800,BRL,93300509,Digital Production,CERPS Invoice,Logistics,Travel Expenses,13-09-2022
BRAZIL,Juan M Martinez,93300509,5,44000,8800,BRL,93300509,Postage & Couriers,Monetory TOV,PaidScholarship,Grants & Donations,22-07-2023
BRAZIL,Francisco Pedro Ruiz,93300511,5,44500,8900,BRL,93300511,Air Fares,CERPS Invoice,N/A,Other HCO Expenditure,28-08-2022
BRAZIL,Francisco Pedro Ruiz,93300511,5,44500,8900,BRL,93300511,Hotel & Accomidation,CERPS Invoice,Logistics,Entertainment,07-07-2023
BRAZIL,Francisco Pedro Ruiz,93300511,5,44500,8900,BRL,93300511,Employee Training,Monetory TOV,Networking,HCP Fee for Service,31-01-2022
BRAZIL,Francisco Pedro Ruiz,93300511,5,44500,8900,BRL,93300511,Taxi Fares,Monetory TOV,Networking,Sponsorships,26-07-2022
BRAZIL,Francisco Pedro Ruiz,93300511,5,44500,8900,BRL,93300511,Other Travel Cost,Monetory TOV,PaidScholarship,Sponsorships,10-09-2022
BRAZIL,Alejandro Martinez,93300513,5,46000,9200,BRL,93300513,Vehicle Parking,CERPS Invoice,Logistics,Entertainment,15-05-2023
BRAZIL,Alejandro Martinez,93300513,5,46000,9200,BRL,93300513,Hotel & Accomidation,Monetory TOV,PaidScholarship,Grants & Donations,15-01-2022
BRAZIL,Alejandro Martinez,93300513,5,46000,9200,BRL,93300513,Employee Training,Monetory TOV,N/A,Gifts,29-12-2022
BRAZIL,Alejandro Martinez,93300513,5,46000,9200,BRL,93300513,Postage & Couriers,CERPS Invoice,Logistics,Other HCO Expenditure,06-09-2022
BRAZIL,Alejandro Martinez,93300513,5,46000,9200,BRL,93300513,Digital Production,CERPS Invoice,N/A,HCP Fee for Service,22-11-2022
BRAZIL,Ignacio Martinez,93300515,5,45500,9100,BRL,93300515,Employee Training,Monetory TOV,Networking,Travel Expenses,15-11-2023
BRAZIL,Ignacio Martinez,93300515,5,45500,9100,BRL,93300515,Vehicle Parking,CERPS Invoice,Networking,Gifts,09-10-2023
BRAZIL,Ignacio Martinez,93300515,5,45500,9100,BRL,93300515,Employee Training,CERPS Invoice,Networking,HCP Fee for Service,24-03-2023
BRAZIL,Ignacio Martinez,93300515,5,45500,9100,BRL,93300515,Digital Production,CERPS Invoice,N/A,Training,22-01-2022
BRAZIL,Ignacio Martinez,93300515,5,45500,9100,BRL,93300515,Digital Production,CERPS Invoice,Networking,Gifts,15-06-2022
BRAZIL,Claudia Beatriz Pereira,93300517,5,45000,9000,BRL,93300517,Air Fares,CERPS Invoice,Networking,Membership Fees,18-03-2023
BRAZIL,Claudia Beatriz Pereira,93300517,5,45000,9000,BRL,93300517,Employee Training,CERPS Invoice,N/A,Other HCO Expenditure,17-09-2022
BRAZIL,Claudia Beatriz Pereira,93300517,5,45000,9000,BRL,93300517,Air Fares,CERPS Invoice,PaidScholarship,Grants & Donations,22-06-2022
BRAZIL,Claudia Beatriz Pereira,93300517,5,45000,9000,BRL,93300517,Vehicle Parking,CERPS Invoice,PaidTravel Expenses,Entertainment,21-09-2023
BRAZIL,Claudia Beatriz Pereira,93300517,5,45000,9000,BRL,93300517,Air Fares,CERPS Invoice,N/A,Gifts,10-01-2022
BRAZIL,Camila Silva,93300519,5,44000,8800,BRL,93300519,Postage & Couriers,CERPS Invoice,N/A,Other HCO Expenditure,10-06-2022
BRAZIL,Camila Silva,93300519,5,44000,8800,BRL,93300519,Hotel & Accomidation,Monetory TOV,Logistics,Market Research,15-05-2022
BRAZIL,Camila Silva,93300519,5,44000,8800,BRL,93300519,Employee Training,CERPS Invoice,Logistics,Membership Fees,21-12-2023
BRAZIL,Camila Silva,93300519,5,44000,8800,BRL,93300519,Digital Production,Monetory TOV,PaidTravel Expenses,Travel Expenses,20-03-2022
BRAZIL,Camila Silva,93300519,5,44000,8800,BRL,93300519,Vehicle Parking,Monetory TOV,Networking,Travel Expenses,23-11-2023
BRAZIL,Nicolas Pedro Ruiz,93300521,5,9000,1800,BRL,93300521,Taxi Fares,Monetory TOV,Networking,Travel Expenses,06-06-2023
BRAZIL,Nicolas Pedro Ruiz,93300521,5,9000,1800,BRL,93300521,Other Travel Cost,Monetory TOV,N/A,HCP Fee for Service,15-03-2022
BRAZIL,Nicolas Pedro Ruiz,93300521,5,9000,1800,BRL,93300521,Postage & Couriers,Monetory TOV,PaidScholarship,Entertainment,04-04-2023
BRAZIL,Nicolas Pedro Ruiz,93300521,5,9000,1800,BRL,93300521,Air Fares,Monetory TOV,Networking,Market Research,07-03-2023
BRAZIL,Nicolas Pedro Ruiz,93300521,5,9000,1800,BRL,93300521,Taxi Fares,Monetory TOV,Networking,HCP Fee for Service,02-07-2023
BRAZIL,Lucia Ruiz,93300523,5,44000,8800,BRL,93300523,Digital Production,Monetory TOV,N/A,Other HCO Expenditure,12-09-2022
BRAZIL,Lucia Ruiz,93300523,5,44000,8800,BRL,93300523,Vehicle Parking,Monetory TOV,N/A,Travel Expenses,09-06-2022
BRAZIL,Lucia Ruiz,93300523,5,44000,8800,BRL,93300523,Digital Production,Monetory TOV,PaidTravel Expenses,Training,02-02-2022
BRAZIL,Lucia Ruiz,93300523,5,44000,8800,BRL,93300523,Taxi Fares,CERPS Invoice,N/A,Gifts,07-07-2023
BRAZIL,Lucia Ruiz,93300523,5,44000,8800,BRL,93300523,Digital Production,Monetory TOV,PaidScholarship,HCP Fee for Service,10-06-2022
BRAZIL,Felipe Pereira Romero,93300525,5,44500,8900,BRL,93300525,Other Travel Cost,Monetory TOV,N/A,Grants & Donations,27-09-2023
BRAZIL,Felipe Pereira Romero,93300525,5,44500,8900,BRL,93300525,Other Travel Cost,CERPS Invoice,Logistics,Membership Fees,24-01-2022
BRAZIL,Felipe Pereira Romero,93300525,5,44500,8900,BRL,93300525,Taxi Fares,Monetory TOV,PaidScholarship,Other HCO Expenditure,07-02-2022
BRAZIL,Felipe Pereira Romero,93300525,5,44500,8900,BRL,93300525,Digital Production,Monetory TOV,N/A,Travel Expenses,23-03-2022
BRAZIL,Felipe Pereira Romero,93300525,5,44500,8900,BRL,93300525,Employee Training,CERPS Invoice,PaidTravel Expenses,Membership Fees,05-12-2022
BRAZIL,Lucia Costa,93300527,5,46000,9200,BRL,93300527,Taxi Fares,CERPS Invoice,PaidTravel Expenses,Sponsorships,26-10-2023
BRAZIL,Lucia Costa,93300527,5,46000,9200,BRL,93300527,Air Fares,CERPS Invoice,PaidTravel Expenses,Training,11-10-2022
BRAZIL,Lucia Costa,93300527,5,46000,9200,BRL,93300527,Other Travel Cost,Monetory TOV,PaidScholarship,Sponsorships,20-08-2022
BRAZIL,Lucia Costa,93300527,5,46000,9200,BRL,93300527,Taxi Fares,Monetory TOV,PaidScholarship,Membership Fees,04-08-2023
BRAZIL,Lucia Costa,93300527,5,46000,9200,BRL,93300527,Digital Production,CERPS Invoice,PaidTravel Expenses,Gifts,13-12-2022
BRAZIL,Adriana Ruiz,93300529,5,44500,8900,BRL,93300529,Postage & Couriers,CERPS Invoice,PaidTravel Expenses,Grants & Donations,14-09-2023
BRAZIL,Adriana Ruiz,93300529,5,44500,8900,BRL,93300529,Digital Production,CERPS Invoice,PaidTravel Expenses,Other HCO Expenditure,23-09-2022
BRAZIL,Adriana Ruiz,93300529,5,44500,8900,BRL,93300529,Digital Production,Monetory TOV,Networking,Membership Fees,04-02-2022
BRAZIL,Adriana Ruiz,93300529,5,44500,8900,BRL,93300529,Hotel & Accomidation,Monetory TOV,Logistics,Other HCO Expenditure,13-04-2022
BRAZIL,Adriana Ruiz,93300529,5,44500,8900,BRL,93300529,Digital Production,CERPS Invoice,PaidScholarship,Entertainment,27-06-2022
BRAZIL,Emilio Pereira,93300531,5,45000,9000,BRL,93300531,Vehicle Parking,CERPS Invoice,Logistics,Gifts,13-03-2023
BRAZIL,Emilio Pereira,93300531,5,45000,9000,BRL,93300531,Postage & Couriers,CERPS Invoice,N/A,Sponsorships,12-09-2022
BRAZIL,Emilio Pereira,93300531,5,45000,9000,BRL,93300531,Taxi Fares,CERPS Invoice,PaidTravel Expenses,Grants & Donations,08-08-2023
BRAZIL,Emilio Pereira,93300531,5,45000,9000,BRL,93300531,Air Fares,Monetory TOV,PaidScholarship,Training,07-09-2022
BRAZIL,Emilio Pereira,93300531,5,45000,9000,BRL,93300531,Hotel & Accomidation,Monetory TOV,Logistics,Membership Fees,21-04-2023
BRAZIL,Adriana Martinez Pedro,93300533,5,46000,9200,BRL,93300533,Hotel & Accomidation,Monetory TOV,PaidTravel Expenses,Entertainment,10-04-2023
BRAZIL,Adriana Martinez Pedro,93300533,5,46000,9200,BRL,93300533,Vehicle Parking,CERPS Invoice,PaidScholarship,Gifts,21-11-2022
BRAZIL,Adriana Martinez Pedro,93300533,5,46000,9200,BRL,93300533,Hotel & Accomidation,Monetory TOV,PaidTravel Expenses,HCP Fee for Service,31-07-2022
BRAZIL,Adriana Martinez Pedro,93300533,5,46000,9200,BRL,93300533,Hotel & Accomidation,Monetory TOV,N/A,Travel Expenses,19-07-2022
BRAZIL,Adriana Martinez Pedro,93300533,5,46000,9200,BRL,93300533,Vehicle Parking,Monetory TOV,Networking,Sponsorships,26-02-2023
BRAZIL,Lucia Julie Ruiz,93300534,5,9200,1840,BRL,93300534,Vehicle Parking,CERPS Invoice,Logistics,Training,16-11-2023
